

SET LINE 100
SET PAGES 20000
COLUMN VALUE FORMAT 99,99,999.99


COMPUTE SUM OF VALUE ON DIV_CD
COMPUTE SUM OF VALUE ON REPORT
BREAK ON REPORT ON DIV_CD

---COMPUTE COUNT OF RTN_NO ON REPORT
---COMPUTE COUNT OF RTN_NO ON FL_MVH



TTITLE center 'Depot:'&&SC_CD', RECV_SUB Voucher of Date Expired Medicine' SKIP2



SPOOL ON

SELECT DISTINCT LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY,SUM(T_VAT*RV_QTY) VALUE
	FROM INV.RECV_SUB WHERE RV_DT BETWEEN '&DATE1' AND '&DATE2' 
	AND LOC_CD='&&SC_CD' 
	AND DIV_CD IN('1','2')
	AND RV_TYP='47' 
	---AND EXP_DT<='01AUG2022'
	GROUP BY LOC_CD,DIV_CD,FP_ID,RV_NO,SUB_NO,RV_DT,RV_TYP,CAT_CD||PRD_CD,MFG_DT,EXP_DT,B_NO,RV_QTY
	ORDER BY DIV_CD,EXP_DT,CAT_CD||PRD_CD

/

 
SPOOL OFF

ED ON.LST


==============================================================================


Date: 01-31 Dec'24

                         Depot:15, Receive Voucher of Date Expired Medicine                         
                                                                                                    
LO D FP_ID RV_NO   SUB_NO RV_DT     RV CAT_CD MFG_DT    EXP_DT    B_NO         RV_QTY         VALUE 
-- - ----- ------- ------ --------- -- ------ --------- --------- -------- ---------- ------------- 
15 1 27309 0005208 003920 15-DEC-24 47 051021 01-SEP-16 30-AUG-18 A0216003         .5         86.40 
15   27309 0005208 003838 15-DEC-24 47 061070 01-SEP-16 30-AUG-18 L0702001          1         66.00 
15   27309 0005208 003920 15-DEC-24 47 081126 01-AUG-16 30-AUG-18 T1266009         .2         44.00 
15   27309 0005208 003920 15-DEC-24 47 081127 01-SEP-16 30-AUG-18 T1276025       1.75        461.30 
15   27309 0005208 003920 15-DEC-24 47 081237 01-SEP-16 30-AUG-18 T2376043        .67        159.19 
15   27309 0005208 003920 15-DEC-24 47 261046 01-SEP-16 30-AUG-18 L0206004          1         68.97 
15   21674 0005208 003784 15-DEC-24 47 071011 01-AUG-16 31-AUG-18 O0116002          1         70.89 
15   21674 0005208 003784 15-DEC-24 47 051038 01-NOV-16 30-NOV-18 A0386003          1        154.05 
15   21674 0005208 003784 15-DEC-24 47 031004 01-MAR-17 31-MAR-19 P0047023          1         61.60 
15   27309 0005208 003920 15-DEC-24 47 081165 01-JUL-17 30-JUN-19 T1657003         .4         47.40 
15   27309 0005208 003920 15-DEC-24 47 081164 01-MAY-17 30-AUG-19 T1647002          1         77.50 
15   27309 0005208 003920 15-DEC-24 47 081171 01-AUG-17 30-AUG-19 T1717017        .67         88.44 
15   21674 0005208 003784 15-DEC-24 47 051047 01-SEP-17 30-SEP-19 V0477003          9      5,702.76 
15   22331 0005208 003793 15-DEC-24 47 081361 01-OCT-17 30-SEP-19 T3617004         .5        176.00 
15   21674 0005208 003784 15-DEC-24 47 021010 01-OCT-16 31-OCT-19 E0106007          1         42.12 
15   22331 0005208 003780 15-DEC-24 47 081223 01-DEC-17 30-NOV-19 T2237002          1        153.30 
15   22331 0005208 003780 15-DEC-24 47 081348 01-SEP-18 30-MAR-20 T3488028         .5        369.67 
15   21674 0005208 003784 15-DEC-24 47 081365 01-APR-18 30-APR-20 T3658007          1        616.00 
15   05J77 0005208 003765 15-DEC-24 47 011045 01-MAY-20 30-MAY-20 C045002         .67         53.27 
15   28292 0005208 003853 15-DEC-24 47 081265 01-MAY-18 30-MAY-20 T2658015        .33         95.93 
15   21674 0005208 003784 15-DEC-24 47 051010 01-JUL-18 31-JUL-20 V0108006          1         75.65 
15   20477 0005208 003916 15-DEC-24 47 081011 01-AUG-18 30-AUG-20 T0119017         .2         70.40 
15   27309 0005208 003920 15-DEC-24 47 081339 01-JUL-18 30-AUG-20 T3398009         .5        193.60 
15   28292 0005208 003853 15-DEC-24 47 131019 01-SEP-18 30-AUG-20 H0198038        .33         21.88 
15   21674 0005208 003784 15-DEC-24 47 081274 01-AUG-18 31-AUG-20 T2748006          1        264.60 
15   20477 0005208 003825 15-DEC-24 47 261002 01-NOV-18 30-OCT-20 C0028006        .33        101.97 
15   21674 0005208 003784 15-DEC-24 47 011044 01-NOV-18 30-NOV-20 C0448010         .2         35.44 
15   22128 0005208 003903 15-DEC-24 47 051050 01-DEC-18 30-NOV-20 A0508010          1         84.18 
15   27309 0005208 003920 15-DEC-24 47 081350 01-DEC-18 30-NOV-20 T3508013          1        211.40 
15   28292 0005208 003866 15-DEC-24 47 051017 01-JAN-19 30-DEC-20 V0179015          7      1,174.04 
15   22128 0005208 003861 15-DEC-24 47 081004 01-JAN-18 30-DEC-20 T0480002         .3         14.40 
15   21674 0005208 003784 15-DEC-24 47 081270 01-DEC-18 31-DEC-20 T2708009          1        193.80 
15   22331 0005208 003780 15-DEC-24 47 031041 01-FEB-19 30-JAN-21 P0419001          1        422.43 
15   22331 0005208 003793 15-DEC-24 47 051018 01-JAN-18 30-JAN-21 V0188004          2        176.54 
15   22128 0005208 003861 15-DEC-24 47 081004 01-JAN-19 30-JAN-21 T0048002         .3         14.40 
15   21013 0005208 003905 15-DEC-24 47 081157 01-JAN-19 30-JAN-21 T1572900         .2        121.40 
15   22331 0005208 003793 15-DEC-24 47 081171 01-FEB-19 30-JAN-21 T1718003        .67         88.44 
15   28292 0005208 003740 15-DEC-24 47 081186 01-JAN-19 30-JAN-21 T1868012          1        139.20 
15   05J77 0005208 003922 15-DEC-24 47 081390 01-JAN-19 30-JAN-21 T3909001         .5        184.80 
15   22976 0005208 003918 15-DEC-24 47 081429 01-JAN-19 30-JAN-21 T2492003          5      1,320.00 
15   28292 0005208 003915 15-DEC-24 47 261052 01-JAN-19 30-JAN-21 L0249084          4        258.64 
15   21674 0005208 003784 15-DEC-24 47 131018 01-JAN-19 31-JAN-21 H0189001       2.33      1,045.70 
15   22128 0005208 003903 15-DEC-24 47 051016 01-APR-19 30-MAR-21 V0169005          1        114.75 
15   28292 0005208 003853 15-DEC-24 47 081013 01-MAR-19 30-MAR-21 T0139008          1         59.00 
