
 Depot:31, IV of Expired Medicine Month wise 
                                             
LO MONTH_Y     EXP_VALUE                     
-- ------- -------------                     
31 2024-04   5,07,679.22                     
31 2024-05   3,68,403.86                     
31 2024-06   3,87,363.31                     
31 2024-07   4,76,002.70                     
31 2024-08   6,02,009.19                     
31 2024-09   4,72,296.21                     
31 2024-10   5,46,289.05                     
31 2024-11   6,68,092.32                     
31 2024-12   2,20,226.70                     
31 2025-01   7,52,666.63                     
31 2025-02   5,30,556.10                     
31 2025-03   3,96,047.08                     
31 2025-04   4,79,919.72                     

13 rows selected.

